speaker,f2i,f2ss,vowel,word,consonant
M01,1046.476643,1569.724644,a,apwal,pw
M01,1279.357558,1463.012431,i,ipwidi,pw
M01,2420.592763,2423.91344,i,koahpi,p
M01,1553.34936,1583.902187,a,apa,p
M01,1014.172691,1403.66011,a,apwal,pw
M01,1331.22186,1167.154218,i,ipwidi,pw
M01,2180.235195,2544.778761,i,koahpi,p
M01,1513.791378,1584.606078,a,apa,p
M01,928.550035,1563.886909,a,apwal,pw
M01,1462.132187,1730.542156,i,ipwidi,pw
M01,2431.104869,2617.999842,i,koahpi,p
M02,1495.3246,1649.600532,a,apa,p
M02,1036.596024,1509.931899,a,apwal,pw
M02,1018.8244,1686.509623,i,ipwidi,pw
M02,2418.3882,2662.833945,i,koahpi,p
M02,1417.223666,1708.806178,a,apa,p
M02,923.455882,1393.80803,a,apwal,pw
M02,1103.385918,1582.568615,i,ipwidi,pw
M02,2137.765659,2428.646145,i,koahpi,p
M02,1489.365805,1559.951221,a,apa,p
M02,844.049226,1447.592396,a,apwal,pw
M02,984.828921,1582.181788,i,ipwidi,pw
M02,2289.435006,2812.350101,i,koahpi,p
F01,1584.674345,1660.332212,a,apa,p
F01,774.045325,1635.867178,a,apwal,pw
F01,1018.604421,1949.220865,i,ipwidi,pw
F01,2170.685646,2831.472692,i,koahpi,p
F01,1766.638323,1662.292566,a,apa,p
F01,901.121782,1707.178234,a,apwal,pw
F01,1148.021052,1728.149857,i,ipwidi,pw
F01,2025.336419,2746.942316,i,koahpi,p
F01,1599.711209,1629.55614,a,apa,p
F01,834.400966,1573.972505,a,apwal,pw
F01,967.876445,1819.226947,i,ipwidi,pw
F01,2379.21491,2715.775839,i,koahpi,p
M03,1234.524,1308.688545,a,apa,p
M03,888.013164,1358.518589,a,apwal,pw
M03,1088.899565,1514.953006,i,ipwidi,pw
M03,1997.11222,2069.690412,i,koahpi,p
M03,1383.253708,1537.775321,a,apa,p
M03,939.270298,1402.731678,a,apwal,pw
M03,1091.816122,1492.376527,i,ipwidi,pw
M03,1879.952533,1991.678166,i,koahpi,p
M03,912.556546,1378.77572,a,apwal,pw
M03,1114.121804,1467.605881,i,ipwidi,pw
M03,1811.522822,1924.371204,i,koahpi,p
M03,1401.147824,1407.128988,a,apa,p
F02,1514.633501,1554.675771,a,apa,p
F02,908.681826,1944.004652,a,apwal,pw
F02,1011.969657,1831.770897,i,ipwidi,pw
F02,2099.33017,2548.613475,i,koahpi,p
F02,1594.006088,1654.702136,a,apa,p
F02,967.091977,2031.880586,a,apwal,pw
F02,1071.344318,1533.714872,i,ipwidi,pw
F02,2208.510555,2551.125551,i,koahpi,p
F02,1608.427439,1753.808722,a,apa,p
F02,941.114297,1926.689752,a,apwal,pw
F02,986.910279,1881.947536,i,ipwidi,pw
F02,2478.898699,2908.976283,i,koahpi,p
