speaker_id,f1,f2,f3,vowel,gender,word,c_initial,c_final,v_length,group,ci,cf,group2
M01,408.493779,1041.131,,u,m,kull,back,front,short,bf,k,l,kl
M01,843.63,1495.42,,a,m,pap,front,front,short,ff,p,p,pp
M01,689.0293,1686.51,,e,m,dek,front,back,short,fb,d,k,dk
M01,400.9,2183.32,,i,m,pik,front,back,short,fb,p,k,pk
M01,495.687,885.863,,o,m,pok,front,back,short,fb,p,k,pk
M01,787.84,1427.4,,oa,m,poar,front,back,short,fb,p,r,pr
M01,722.300864,1376.174458,,oa,m,koal,back,front,short,bf,k,l,kl
M01,383.912423,969.0466,,u,m,tuki,back,back,short,bb,t,k,tk
M01,842.008232,1766.09,,a,m,pahpa,front,front,long,ff,p,p,pp
M01,623.852203,1727.79,,e,m,dehk,front,back,long,fb,d,k,dk
M01,398.05,2208.04,,i,m,pihk,front,back,long,fb,p,k,pk
M01,463.029967,908.136,,o,m,pohk,front,back,long,fb,p,k,pk
M01,755.96883,1270.103014,,oa,m,poahr,front,back,long,fb,p,r,pr
M01,740.9039,1216.43,,oa,m,koahl,back,front,long,bf,k,l,kl
M01,372.23883,1012.014,,u,m,tuhke,back,back,long,bb,t,k,tk
M01,851.953822,1598.98981,,a,m,pak,front,back,short,fb,p,k,pk
M01,765.48,1259.93,,a,m,kapa,back,front,short,bf,k,p,kp
M01,948.6446,1475.478,,a,m,kak,back,back,short,bb,k,k,kk
M01,868.57,1625,,a,m,pahk,front,back,long,fb,p,k,pk
M01,845.21,1427.96,,a,m,kahk,back,back,long,bb,k,k,kk
M01,929.7296,1645.095,,a,m,kahp,back,front,long,bf,k,p,kp
M01,380.455,1018.36,,u,m,dul,front,front,short,ff,d,l,dl
M01,434.956,1012.37,,u,m,kuk,back,back,short,bb,k,k,kk
M01,429.71,1201.28,,u,m,duk,front,back,short,fb,d,k,dk
M01,363.28,997.62,,u,m,duhp,front,front,long,ff,d,p,dp
M01,387.58,888.142,,u,m,kuht,back,back,long,bb,k,t,kt
M01,377.586226,1070.44,,u,m,duhkihla,front,back,long,fb,d,k,dk
M01,341.996973,777.12,,u,m,kuhpene,back,front,long,bf,k,p,kp
M01,438.676927,1800.848,,i,m,pip,front,front,short,ff,p,p,pp
M01,482.142476,1788.0917,,i,m,kik,back,back,short,bb,k,k,kk
M01,427.942083,2146.022,,i,m,pik,front,back,short,fb,p,k,pk
M01,407.730561,1216.889,,i,m,kipar,back,front,short,bf,k,p,kp
M01,393.885672,2333.475862,,i,m,dihp,front,front,long,ff,d,p,dp
M01,404.72133,2297.635,,i,m,kihk,back,back,long,bb,k,k,kk
M01,441.946881,2277.32,,i,m,kihd,back,front,long,bf,k,d,kd
M01,453.723927,1415.577884,,o,m,popohl,front,front,short,ff,p,p,pp
M01,392.688704,909.55339,,o,m,kokus,back,back,short,bb,k,k,kk
M01,475.017163,902.897257,,o,m,kohp,back,front,long,bf,k,p,kp
M01,777.56,1348.127797,,oa,m,poad,front,front,short,ff,p,d,pd
M01,546.6,1074.212,,oa,m,koakon,back,back,short,bb,k,k,kk
M01,463.004614,1227.488287,,o,m,kopil,back,front,short,bf,k,p,kp
M01,456.28662,928.7899,,o,m,dohpeseng,front,front,long,ff,d,p,dp
M01,539.36479,1021.685536,,oa,m,koakon,back,back,short,bb,k,k,kk
M01,487.121349,927.311625,,o,m,kohke,back,back,long,bb,k,k,kk
M01,672.171916,1359.8,,oa,m,poak,front,back,short,fb,p,k,pk
M01,642.327214,1684.735997,,oa,m,koadi,back,front,short,bf,k,d,kd
M01,751.5852,1328.025,,oa,m,poahd,front,front,long,ff,p,d,pd
M01,757.15749,1167.41,,oa,m,koahkoa,back,back,long,bb,k,k,kk
M01,699.602734,1148.4,,oa,m,koahpi,back,front,long,bf,k,p,kp
M01,580.4279,1659.09,,e,m,pepe,front,front,short,ff,p,p,pp
M01,533.955,1672.588,,e,m,keke,back,back,short,bb,k,k,kk
M01,527.687,1436.63,,e,m,peki,front,back,short,fb,p,k,pk
M01,623.600515,1330.322539,,e,m,kep,back,front,short,bf,k,p,kp
M01,572.529071,1919.12,,e,m,pehpe,front,front,long,ff,p,p,pp
M01,513.685596,1906.209067,,e,m,kehk,back,back,long,bb,k,k,kk
M01,511.149583,1745.309163,,e,m,pehkiek,front,back,long,fb,p,k,pk
M01,628.328483,1847.859856,,e,m,kehp,back,front,long,bf,k,p,kp
M01,574.545663,1792.871175,,e,m,pehkiek,front,back,long,fb,p,k,pk
M02,506.414997,1038.66,,u,m,kull,back,front,short,bf,k,l,kl
M02,835.115372,1715.320167,,a,m,pap,front,front,short,ff,p,p,pp
M02,678.792,1786.43,,e,m,dek,front,back,short,fb,d,k,dk
M02,399.480219,2158.407827,,i,m,pik,front,back,short,fb,p,k,pk
M02,542.77592,919.578146,,o,m,pok,front,back,short,fb,p,k,pk
M02,690.59,954.652,,oa,m,poar,front,back,short,fb,p,r,pr
M02,725.708123,1084.38,,oa,m,koal,back,front,short,bf,k,l,kl
M02,459.842318,1071.749202,,u,m,tuki,back,back,short,bb,t,k,tk
M02,894.611667,1671.251782,,a,m,pahpa,front,front,long,ff,p,p,pp
M02,543.865381,2182.748,,e,m,dehk,front,back,long,fb,d,k,dk
M02,465.556977,2771.324557,,i,m,pihk,front,back,long,fb,p,k,pk
M02,663.722674,1110.963695,,oa,m,poahk,front,back,long,fb,p,k,pk
M02,679.61,1002.944,,oa,m,poahr,front,back,long,fb,p,r,pr
M02,673.199456,981.035,,oa,m,koahl,back,front,long,bf,k,l,kl
M02,367.02751,930.94,,u,m,tuhke,back,back,long,bb,t,k,tk
M02,830.571145,1540.77,,a,m,pak,front,back,short,fb,p,k,pk
M02,916.527881,1493.53,,a,m,kapa,back,front,short,bf,k,p,kp
M02,817.306201,1484.235874,,a,m,kak,back,back,short,bb,k,k,kk
M02,942.115033,1734.472423,,a,m,pahk,front,back,long,fb,p,k,pk
M02,944.515746,1586.238737,,a,m,kahk,back,back,long,bb,k,k,kk
M02,904.390127,1665.497186,,a,m,kahp,back,front,long,bf,k,p,kp
M02,443.787543,748.801052,,u,m,dul,front,front,short,ff,d,l,dl
M02,532.627076,845.952712,,u,m,kuk,back,back,short,bb,k,k,kk
M02,410.608455,981.666801,,u,m,duk,front,back,short,fb,d,k,dk
M02,332.466988,812.537716,,u,m,duhp,front,front,long,ff,d,p,dp
M02,381.99228,825.883551,,u,m,kuht,back,back,long,bb,k,t,kt
M02,465.284379,769.176256,,u,m,duhkihla,front,back,long,fb,d,k,dk
M02,470.0069,731.803686,,u,m,kuhpene,back,front,long,bf,k,p,kp
M02,513.686539,1993.738923,,i,m,pip,front,front,short,ff,p,p,pp
M02,459.754806,2005.225887,,i,m,kik,back,back,short,bb,k,k,kk
M02,474.404881,2105.667633,,i,m,pik,front,back,short,fb,p,k,pk
M02,439.080839,2311.206986,,i,m,kipar,back,front,short,bf,k,p,kp
M02,846.653414,1562.893669,,a,m,kipar,front,back,short,fb,k,p,kp
M02,393.3763,2893.727887,,i,m,dihp,front,front,long,ff,d,p,dp
M02,498.273068,2506.638819,,i,m,kihk,back,back,long,bb,k,k,kk
M02,509.374672,2690.282904,,i,m,kihd,back,front,long,bf,k,d,kd
M02,486.481534,1107.156555,,o,m,popohl,front,front,short,ff,p,p,pp
M02,468.47,901.16,,o,m,kokus,back,back,short,bb,k,k,kk
M02,508.139107,776.803342,,o,m,kohp,back,front,long,bf,k,p,kp
M02,717.906371,1090.49241,,oa,m,poad,front,front,short,ff,p,d,pd
M02,656.283921,927.94648,,oa,m,koakon,back,back,short,bb,k,k,kk
M02,513.079814,965.211,,o,m,kopil,back,front,short,bf,k,p,kp
M02,477.808257,821.275144,,o,m,dohpeseng,front,front,long,ff,d,p,dp
M02,651.553602,972.231726,,oa,m,koakon,back,back,short,bb,k,k,kk
M02,557.019323,868.275837,,o,m,kohke,back,back,long,bb,k,k,kk
M02,763.83005,1172.372999,,oa,m,poak,front,back,short,fb,p,k,pk
