vowel,f1norm,f2norm,c_intial
ɐ,1.4484071,0.1752909,back
ɛ,0.178048,0.5184894,back
i,-0.77218661,0.325454,back
o,-0.44587451,-1.0246141,back
ɔ,0.46185895,-0.610294,back
u,-0.87942741,-0.9552676,back
ɐː,1.9607927,0.2524071,back
ɛː,-0.06305321,1.1626001,back
iː,-1.1186405,2.1365011,back
oː,-0.52757732,-1.2417199,back
ɔː,0.6143093,-0.7669151,back
uː,-1.28183192,-1.3162755,back
ɐ,1.46655541,0.3011252,front
ɛ,0.16812857,0.5846703,front
i,-0.6440614,0.7799013,front
o,-0.09401493,-0.4903362,front
ɔ,0.84907287,-0.354942,front
u,-0.84001656,-0.8042275,front
ɐː,1.81926058,0.389104,front
ɛː,-0.17259824,1.2417881,front
iː,-1.1799099,2.1003578,front
oː,-0.27010073,-0.9758325,front
ɔː,0.81696058,-0.5314615,front
uː,-1.15937037,-1.1095976,front
